test_sentence,most_sim_sentence
"['0', '经常 打架，闹课堂，不服老师管教']","['0', '课间经常和同学
闹矛盾；']"
"['1', '在我还没有反应前，就听见A同学用一种很愤怒响亮的声音说：“最讨厌你这种人，幸灾乐祸！”全班同学都愣住了。']","['0', '某日，我一脚刚踏进教室门，又听一个孩子委屈地向我哭诉：“老师，小琦打我！”于是，我把在楼道疯跑着的小琦叫到身边询问：“你怎么打同学呢？”他一脸不服气地说：“我就是想和他玩玩而已！”“什么叫作玩玩而已？”我更加生气了。“我就是跟他玩玩。我没打他！”他的语气更加不屑。']"
"['0', '下课追逐打闹，经常和同学打架']","['0', '下课胡乱打闹，同学间经常闹矛盾']"
"['2', '对老师的批评不屑一顾']","['2', '对老师的批评、教育满不在乎']"
"['2', '我带过一个班，带班不久我便发此刻这个班中的一个普遍现象，每一天家长背着书包接送学生上下学，给学生超多的零花钱，学生用这些钱买零食、买玩具，而家长稍有一点没顺学生的意，就会出现大吵大闹的现象']","['2', '刚开学没几天，当班里的小组长向我汇报他们组就刘某某没交作业时，我随口问了一句：“刘某某你的作业本呢？什么时候能交？”只见刘某某看了我一眼，然后默默地把书包收拾了一下，起身背起书包，昂首走出了教室。我一愣，没有阻拦，因为我知道只要阻拦会加大他的逆反心理，我没有做声，任由刘某某出入无人之境地走出了教室。随后我跟着他悄悄地（没让他发现）走出了教室']"
"['0', '由于家庭环境优越，吸烟喝酒，打架斗殴，像脱缰的野马——无拘无束。']","['0', '经常惹事生非，跟人打架。在学校打，在家里打，']"
"['2', '因为不服班主任老师管教，哪个老师也不肯要他。']","['1', '班老师不允许，他很不满意，就与值班老师发生口角，态度很不好']"
"['0', '因此与后勤科长发生了口角，直至动了手']","['2', '还常常引发同学间的矛盾，许多同学都指责他，讨厌他，不和他一起玩;']"
"['0', '在与学生交流中，发现小李平时和同学相处常有擦。常因琐事与同学争吵，甚至打架。']","['0', '通过几次与家长沟通得知，小繁从小就与别的孩子有些不同，比较好动、好斗，喜欢冒犯别人，常把同一个小区的孩子惹哭，幼儿园里是出了名的惹事的孩子。']"
"['1', '在与学生交流中，发现小李平时和同学相处常有擦。常因琐事与同学争吵，甚至打架。']","['0', '通过几次与家长沟通得知，小繁从小就与别的孩子有些不同，比较好动、好斗，喜欢冒犯别人，常把同一个小区的孩子惹哭，幼儿园里是出了名的惹事的孩子。']"
"['0', '与任课老师的交流中，几乎有相同的共识：上课注意力易分散，易和同学有矛盾等等。']","['2', '对于教师的主动劝说，就当耳边风，多名任课老师为此比较头痛']"
"['2', '原来在我班上有只“烫手的山芋”——“捣蛋鬼”、“双差生”小磊。同学们害怕他，躲着他\ue011老师讨厌他，嫌弃他，']","['0', '开学第一周，就“领教”了这娃的“霸气威武”。一次课间我进了教室，一个女孩哭哭啼啼地找我说：“老师，郭郭说要弄死我……”刚听到此，我的心紧紧一抽，再一追问才明白是这个女孩爱找他玩，他不想和她玩，就怂恿旁边的另一个男生拿出一把小剪刀来，并恶狠狠地威胁道：“再过来烦我们就弄死你。”找郭郭出来了解情况时，他在那里安静不过三秒，不停转着身，不时抖着腿，迷人的大眼睛里充满了不屑，郭郭坚持认为是女孩先招的他，秉承着“人若犯我，我必奉还”的原则，一口咬定女孩是“罪有应得”而自己的威胁之语“并无任何不妥”']"
"['2', '。“恶作剧”等行为虽然表现了你很爱动脑，但这种行为侵犯了别人']","['0', '列举了小川除了抓人之外的一些行为，例如用剪刀剪自己鼻尖，用铅笔尖扎人等。']"
"['2', '上课趁老师不注意剪前面女生的头发，在同学后背上贴纸条，']","['2', '在教官带大家练习队形时，他竟然恶作剧把前面一个男孩子的裤子给扯了下来，那个男孩子当场就哭了，转过身推了他一下。']"
"['2', '下课捉虫子吓唬胆小的同学，抓一把灰洒到同学的脖子里']","['1', '有一天，课间孩子们上完厕所回来告状说：“小勇说脏话了。”“小勇打人啦！”当时我只是平淡地“嗯”了一声。']"
